GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
SR-AndhraPradeshandTelangana-Storage_EP,2035,3241336,92000,.
SR-AndhraPradeshandTelangana-Storage_EP,2045,3111470,88000,.
SR-AndhraPradeshandTelangana-Storage_EP,2022,3241336,92000,.
SR-AndhraPradeshandTelangana-Pumped Storage_EP,2025,0,20150,244774.5806
SR-AndhraPradeshandTelangana-Pumped Storage_EP,2035,0,20150,244774.5806
SR-AndhraPradeshandTelangana-Pumped Storage_EP,2045,0,20150,244774.5806
SR-AndhraPradeshandTelangana-Pumped Storage_EP,2022,0,20150,244774.5806
SR-AndhraPradeshandTelangana-PV,2025,1491641,21001,.
SR-AndhraPradeshandTelangana-PV,2035,895321,15022,.
SR-AndhraPradeshandTelangana-PV,2045,753705,13510,.
SR-AndhraPradeshandTelangana-PV_EP,2022,1491641,21001,.
SR-AndhraPradeshandTelangana-Onshore,2025,1569099,31251,.
SR-AndhraPradeshandTelangana-Onshore,2035,1344692,28261,.
SR-AndhraPradeshandTelangana-Onshore,2045,1188169,26256,.
SR-AndhraPradeshandTelangana-Onshore_EP,2022,1569099,31251,.
SR-AndhraPradeshandTelangana-Offshore,2025,5877079,84270,.
SR-AndhraPradeshandTelangana-Offshore,2035,3435322,74181,.
SR-AndhraPradeshandTelangana-Offshore,2045,3208853,68141,.
SR-AndhraPradeshandTelangana-Offshore_EP,2022,5877079,84270,.
SR-AndhraPradeshandTelangana-Battery,2025,0,38777,427850.75
SR-AndhraPradeshandTelangana-Battery,2035,0,29997,336849
SR-AndhraPradeshandTelangana-Battery,2045,0,24986,284904.75
SR-Karnataka-Run-of-River_EP,2025,3241336,92000,.
SR-Karnataka-Run-of-River_EP,2035,3241336,92000,.
SR-Karnataka-Run-of-River_EP,2045,3111470,88000,.
SR-Karnataka-Run-of-River_EP,2022,3241336,92000,.
SR-Karnataka-RoR-with Pondage_EP,2025,3241336,92000,.
SR-Karnataka-RoR-with Pondage_EP,2035,3241336,92000,.
SR-Karnataka-RoR-with Pondage_EP,2045,3111470,88000,.
SR-Karnataka-RoR-with Pondage_EP,2022,3241336,92000,.
SR-Karnataka-Storage_EP,2025,3241336,92000,.
SR-Karnataka-Storage_EP,2035,3241336,92000,.
SR-Karnataka-Storage_EP,2045,3111470,88000,.
SR-Karnataka-Storage_EP,2022,3241336,92000,.
SR-Karnataka-Pumped Storage_EP,2025,0,20150,244774.5806
SR-Karnataka-Pumped Storage_EP,2035,0,20150,244774.5806
SR-Karnataka-Pumped Storage_EP,2045,0,20150,244774.5806
SR-Karnataka-Pumped Storage_EP,2022,0,20150,244774.5806
SR-Karnataka-PV,2025,1491641,21001,.
SR-Karnataka-PV,2035,895321,15022,.
SR-Karnataka-PV,2045,753705,13510,.
SR-Karnataka-PV_EP,2022,1491641,21001,.
SR-Karnataka-Onshore,2025,1569099,31251,.
SR-Karnataka-Onshore,2035,1344692,28261,.
SR-Karnataka-Onshore,2045,1188169,26256,.
SR-Karnataka-Onshore_EP,2022,1569099,31251,.
SR-Karnataka-Offshore,2025,5877079,84270,.
SR-Karnataka-Offshore,2035,3435322,74181,.
SR-Karnataka-Offshore,2045,3208853,68141,.
SR-Karnataka-Offshore_EP,2022,5877079,84270,.
SR-Karnataka-Battery,2025,0,38777,427850.75
SR-Karnataka-Battery,2035,0,29997,336849
SR-Karnataka-Battery,2045,0,24986,284904.75
SR-Kerala-Run-of-River_EP,2025,3241336,92000,.
