hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Shaanxi-Hydro_NonPumped-ep,2050.07.23,0,4580
Shaanxi-Hydro_NonPumped-ep,2050.10.22,0,5536
Shandong-Hydro_NonPumped-ep,2030.01.28,0,357
Shandong-Hydro_NonPumped-ep,2030.04.15,0,678
Shandong-Hydro_NonPumped-ep,2030.07.01,0,1164
Shandong-Hydro_NonPumped-ep,2030.10.31,0,1282
Shandong-Hydro_NonPumped-ep,2040.01.02,0,400
Shandong-Hydro_NonPumped-ep,2040.04.19,0,760
Shandong-Hydro_NonPumped-ep,2040.07.24,0,1304
Shandong-Hydro_NonPumped-ep,2040.10.13,0,1437
Shandong-Hydro_NonPumped-ep,2050.01.04,0,443
Shandong-Hydro_NonPumped-ep,2050.04.29,0,843
Shandong-Hydro_NonPumped-ep,2050.07.23,0,1447
Shandong-Hydro_NonPumped-ep,2050.10.22,0,1593
Shanxi-Hydro_NonPumped-ep,2030.01.28,0,822
Shanxi-Hydro_NonPumped-ep,2030.04.15,0,1562
Shanxi-Hydro_NonPumped-ep,2030.07.01,0,2677
Shanxi-Hydro_NonPumped-ep,2030.10.31,0,2950
Shanxi-Hydro_NonPumped-ep,2040.01.02,0,921
Shanxi-Hydro_NonPumped-ep,2040.04.19,0,1752
Shanxi-Hydro_NonPumped-ep,2040.07.24,0,3000
Shanxi-Hydro_NonPumped-ep,2040.10.13,0,3308
Shanxi-Hydro_NonPumped-ep,2050.01.04,0,1021
Shanxi-Hydro_NonPumped-ep,2050.04.29,0,1943
Shanxi-Hydro_NonPumped-ep,2050.07.23,0,3327
Shanxi-Hydro_NonPumped-ep,2050.10.22,0,3669
Sichuan-Hydro_NonPumped-ep,2030.01.28,0,19811
Sichuan-Hydro_NonPumped-ep,2030.04.15,0,25800
Sichuan-Hydro_NonPumped-ep,2030.07.01,0,132612
Sichuan-Hydro_NonPumped-ep,2030.10.31,0,86212
Sichuan-Hydro_NonPumped-ep,2040.01.02,0,22206
Sichuan-Hydro_NonPumped-ep,2040.04.19,0,28919
Sichuan-Hydro_NonPumped-ep,2040.07.24,0,148642
Sichuan-Hydro_NonPumped-ep,2040.10.13,0,96632
Sichuan-Hydro_NonPumped-ep,2050.01.04,0,24634
Sichuan-Hydro_NonPumped-ep,2050.04.29,0,32080
Sichuan-Hydro_NonPumped-ep,2050.07.23,0,164893
Sichuan-Hydro_NonPumped-ep,2050.10.22,0,107197
Tianjin-Hydro_NonPumped-ep,2030.01.28,0,4
Tianjin-Hydro_NonPumped-ep,2030.04.15,0,2
Tianjin-Hydro_NonPumped-ep,2030.07.01,0,10
Tianjin-Hydro_NonPumped-ep,2030.10.31,0,6
Tianjin-Hydro_NonPumped-ep,2040.01.02,0,4
Tianjin-Hydro_NonPumped-ep,2040.04.19,0,3
Tianjin-Hydro_NonPumped-ep,2040.07.24,0,11
Tianjin-Hydro_NonPumped-ep,2040.10.13,0,7
Tianjin-Hydro_NonPumped-ep,2050.01.04,0,4
Tianjin-Hydro_NonPumped-ep,2050.04.29,0,3
Tianjin-Hydro_NonPumped-ep,2050.07.23,0,13
Tianjin-Hydro_NonPumped-ep,2050.10.22,0,7
Tibet-Hydro_NonPumped-ep,2030.01.28,0,1025
Tibet-Hydro_NonPumped-ep,2030.04.15,0,1515
Tibet-Hydro_NonPumped-ep,2030.07.01,0,3691
Tibet-Hydro_NonPumped-ep,2030.10.31,0,3192
Tibet-Hydro_NonPumped-ep,2040.01.02,0,1150
Tibet-Hydro_NonPumped-ep,2040.04.19,0,1698
Tibet-Hydro_NonPumped-ep,2040.07.24,0,4138
Tibet-Hydro_NonPumped-ep,2040.10.13,0,3578
Tibet-Hydro_NonPumped-ep,2050.01.04,0,1276
Tibet-Hydro_NonPumped-ep,2050.04.29,0,1883
Tibet-Hydro_NonPumped-ep,2050.07.23,0,4590
Tibet-Hydro_NonPumped-ep,2050.10.22,0,3969
West_Inner_Mongolia-Hydro_NonPumped-ep,2030.01.28,0,666
West_Inner_Mongolia-Hydro_NonPumped-ep,2030.04.15,0,985
West_Inner_Mongolia-Hydro_NonPumped-ep,2030.07.01,0,2400
West_Inner_Mongolia-Hydro_NonPumped-ep,2030.10.31,0,2076
West_Inner_Mongolia-Hydro_NonPumped-ep,2040.01.02,0,748
West_Inner_Mongolia-Hydro_NonPumped-ep,2040.04.19,0,1103
West_Inner_Mongolia-Hydro_NonPumped-ep,2040.07.24,0,2690
West_Inner_Mongolia-Hydro_NonPumped-ep,2040.10.13,0,2327
West_Inner_Mongolia-Hydro_NonPumped-ep,2050.01.04,0,828
West_Inner_Mongolia-Hydro_NonPumped-ep,2050.04.29,0,1223
West_Inner_Mongolia-Hydro_NonPumped-ep,2050.07.23,0,2985
West_Inner_Mongolia-Hydro_NonPumped-ep,2050.10.22,0,2581
Xinjiang-Hydro_NonPumped-ep,2030.01.28,0,2479
Xinjiang-Hydro_NonPumped-ep,2030.04.15,0,3660
Xinjiang-Hydro_NonPumped-ep,2030.07.01,0,8905
Xinjiang-Hydro_NonPumped-ep,2030.10.31,0,7722
Xinjiang-Hydro_NonPumped-ep,2040.01.02,0,2777
Xinjiang-Hydro_NonPumped-ep,2040.04.19,0,4101
Xinjiang-Hydro_NonPumped-ep,2040.07.24,0,9981
Xinjiang-Hydro_NonPumped-ep,2040.10.13,0,8655
Xinjiang-Hydro_NonPumped-ep,2050.01.04,0,3081
Xinjiang-Hydro_NonPumped-ep,2050.04.29,0,4550
Xinjiang-Hydro_NonPumped-ep,2050.07.23,0,11072
Xinjiang-Hydro_NonPumped-ep,2050.10.22,0,9602
Yunnan-Hydro_NonPumped-ep,2030.01.28,0,13343
Yunnan-Hydro_NonPumped-ep,2030.04.15,0,33182
Yunnan-Hydro_NonPumped-ep,2030.07.01,0,106893
Yunnan-Hydro_NonPumped-ep,2030.10.31,0,36931
Yunnan-Hydro_NonPumped-ep,2040.01.02,0,14955
Yunnan-Hydro_NonPumped-ep,2040.04.19,0,37192
Yunnan-Hydro_NonPumped-ep,2040.07.24,0,119811
Yunnan-Hydro_NonPumped-ep,2040.10.13,0,41395
Yunnan-Hydro_NonPumped-ep,2050.01.04,0,16589
Yunnan-Hydro_NonPumped-ep,2050.04.29,0,41259
Yunnan-Hydro_NonPumped-ep,2050.07.23,0,132911
Yunnan-Hydro_NonPumped-ep,2050.10.22,0,45921
Zhejiang-Hydro_NonPumped-ep,2030.01.28,0,1202
Zhejiang-Hydro_NonPumped-ep,2030.04.15,0,2940
Zhejiang-Hydro_NonPumped-ep,2030.07.01,0,14424
Zhejiang-Hydro_NonPumped-ep,2030.10.31,0,3577
Zhejiang-Hydro_NonPumped-ep,2040.01.02,0,1348
Zhejiang-Hydro_NonPumped-ep,2040.04.19,0,3295
Zhejiang-Hydro_NonPumped-ep,2040.07.24,0,16167
Zhejiang-Hydro_NonPumped-ep,2040.10.13,0,4009
Zhejiang-Hydro_NonPumped-ep,2050.01.04,0,1494
Zhejiang-Hydro_NonPumped-ep,2050.04.29,0,3655
Zhejiang-Hydro_NonPumped-ep,2050.07.23,0,17935
Zhejiang-Hydro_NonPumped-ep,2050.10.22,0,4448
