GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Gansu-Central_PV,2030.01.28.01.00,0
Gansu-Central_PV,2030.01.28.02.00,0
Gansu-Central_PV,2030.01.28.03.00,0
Gansu-Central_PV,2030.01.28.04.00,0
Gansu-Central_PV,2030.01.28.05.00,0
Gansu-Central_PV,2030.01.28.06.00,0
Gansu-Central_PV,2030.01.28.07.00,0
Gansu-Central_PV,2030.01.28.08.00,0.027
Gansu-Central_PV,2030.01.28.09.00,0.343
Gansu-Central_PV,2030.01.28.10.00,0.615
Gansu-Central_PV,2030.01.28.11.00,0.778
Gansu-Central_PV,2030.01.28.12.00,0.861
Gansu-Central_PV,2030.01.28.13.00,0.875
Gansu-Central_PV,2030.01.28.14.00,0.824
Gansu-Central_PV,2030.01.28.15.00,0.7
Gansu-Central_PV,2030.01.28.16.00,0.495
Gansu-Central_PV,2030.01.28.17.00,0.166
Gansu-Central_PV,2030.01.28.18.00,0
Gansu-Central_PV,2030.01.28.19.00,0
Gansu-Central_PV,2030.01.28.20.00,0
Gansu-Central_PV,2030.01.28.21.00,0
Gansu-Central_PV,2030.01.28.22.00,0
Gansu-Central_PV,2030.01.28.23.00,0
Gansu-Central_PV,2030.04.15.00.00,0
Gansu-Central_PV,2030.04.15.01.00,0
Gansu-Central_PV,2030.04.15.02.00,0
Gansu-Central_PV,2030.04.15.03.00,0
Gansu-Central_PV,2030.04.15.04.00,0
Gansu-Central_PV,2030.04.15.05.00,0
Gansu-Central_PV,2030.04.15.06.00,0
Gansu-Central_PV,2030.04.15.07.00,0.094
Gansu-Central_PV,2030.04.15.08.00,0.309
Gansu-Central_PV,2030.04.15.09.00,0.544
Gansu-Central_PV,2030.04.15.10.00,0.732
Gansu-Central_PV,2030.04.15.11.00,0.84
Gansu-Central_PV,2030.04.15.12.00,0.898
Gansu-Central_PV,2030.04.15.13.00,0.908
Gansu-Central_PV,2030.04.15.14.00,0.807
Gansu-Central_PV,2030.04.15.15.00,0.657
Gansu-Central_PV,2030.04.15.16.00,0.482
Gansu-Central_PV,2030.04.15.17.00,0.302
Gansu-Central_PV,2030.04.15.18.00,0.124
